slug,subject,daimon,full_marks,jev_seq_without_score,jev_seq_without_rate,luna_seq_without_score,luna_seq_without_rate,terra_seq_without_score,terra_seq_without_rate,sol_seq_without_score,sol_seq_without_rate,low_luna_seq_without_score,low_luna_seq_without_rate
rekishi-sekaishi,歴史世探,1,25,18,0.72,9,0.36,10,0.4,18,0.72,15,0.6
rekishi-sekaishi,歴史世探,2,21,6,0.286,12,0.571,9,0.429,12,0.571,6,0.286
rekishi-sekaishi,歴史世探,3,18,9,0.5,9,0.5,12,0.667,12,0.667,18,1.0
rekishi-sekaishi,歴史世探,4,18,6,0.333,6,0.333,9,0.5,15,0.833,9,0.5
rekishi-sekaishi,歴史世探,5,18,14,0.778,8,0.444,12,0.667,18,1.0,7,0.389
seibutsu,生物,1,20,16,0.8,8,0.4,8,0.4,16,0.8,20,1.0
seibutsu,生物,2,20,12,0.6,12,0.6,12,0.6,17,0.85,12,0.6
seibutsu,生物,3,20,7,0.35,4,0.2,15,0.75,11,0.55,12,0.6
seibutsu,生物,4,20,20,1.0,4,0.2,0,0.0,20,1.0,16,0.8
seibutsu,生物,5,20,16,0.8,7,0.35,7,0.35,11,0.55,20,1.0
seibutsu-kiso,生物基礎,1,16,16,1.0,9,0.562,3,0.188,13,0.812,13,0.812
seibutsu-kiso,生物基礎,2,18,15,0.833,12,0.667,6,0.333,6,0.333,9,0.5
seibutsu-kiso,生物基礎,3,16,12,0.75,9,0.562,9,0.562,16,1.0,12,0.75
suugaku-1,数学I,1,20,4,0.2,2,0.1,4,0.2,6,0.3,18,0.9
suugaku-1,数学I,2,30,13,0.433,2,0.067,13,0.433,13,0.433,24,0.8
suugaku-1,数学I,3,30,10,0.333,4,0.133,12,0.4,14,0.467,24,0.8
suugaku-1,数学I,4,20,8,0.4,6,0.3,8,0.4,17,0.85,15,0.75
suugaku-1a,数学IA,1,30,6,0.2,5,0.167,9,0.3,11,0.367,8,0.267
suugaku-1a,数学IA,2,30,5,0.167,3,0.1,13,0.433,13,0.433,20,0.667
suugaku-1a,数学IA,3,20,2,0.1,2,0.1,0,0.0,2,0.1,5,0.25
suugaku-1a,数学IA,4,20,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1
suugaku2bc,数学IIBC,1,15,2,0.133,5,0.333,2,0.133,6,0.4,8,0.533
suugaku2bc,数学IIBC,2,15,7,0.467,5,0.333,7,0.467,11,0.733,9,0.6
suugaku2bc,数学IIBC,3,22,8,0.364,0,0.0,2,0.091,8,0.364,10,0.455
suugaku2bc,数学IIBC,4,16,5,0.312,1,0.062,9,0.562,5,0.312,15,0.938
suugaku2bc,数学IIBC,5,16,10,0.625,6,0.375,10,0.625,14,0.875,14,0.875
suugaku2bc,数学IIBC,6,16,7,0.438,3,0.188,2,0.125,7,0.438,14,0.875
suugaku2bc,数学IIBC,7,16,10,0.625,7,0.438,10,0.625,9,0.562,12,0.75
tiri,地理総合,1,13,9,0.692,3,0.231,3,0.231,3,0.231,13,1.0
tiri,地理総合,2,12,6,0.5,6,0.5,12,1.0,9,0.75,12,1.0
tiri,地理総合,3,13,3,0.231,7,0.538,3,0.231,7,0.538,9,0.692
tiri,地理総合,4,12,3,0.25,9,0.75,3,0.25,6,0.5,6,0.5
tiri-sougou,地理総探,1,13,9,0.692,6,0.462,3,0.231,6,0.462,9,0.692
tiri-sougou,地理総探,2,12,6,0.5,6,0.5,9,0.75,12,1.0,6,0.5
tiri-sougou,地理総探,3,21,7,0.333,4,0.19,10,0.476,14,0.667,8,0.381
tiri-sougou,地理総探,4,17,14,0.824,7,0.412,4,0.235,6,0.353,9,0.529
tiri-sougou,地理総探,5,20,17,0.85,11,0.55,6,0.3,11,0.55,14,0.7
tiri-sougou,地理総探,6,17,7,0.412,7,0.412,3,0.176,8,0.471,10,0.588
